SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M400923,constant,8787,8787,0,18,26.0,92.0,102.0,544.0,718.0,1767986812,3670379411202573
S47ANA0M400923,constant,17679,17679,0,37,59.0,93.0,140.0,651.0,1086.0,1767986814,3670385654835441
S47ANA0M400923,constant,26870,26870,0,56,60.0,93.0,204.0,871.0,2282.0,1767986817,3670391904119430
S47ANA0M400923,constant,35143,35143,0,87,36.0,93.0,243.0,1089.0,2572.0,1767986820,3670398138728619
S47ANA0M400923,constant,44424,44424,0,115,38.0,93.0,390.0,1336.0,2232.0,1767986822,3670404380022417
S47ANA0M400923,constant,52963,52963,0,147,34.0,94.0,572.0,1936.0,3090.0,1767986825,3670410607881300
S47ANA0M400923,constant,61884,61884,0,190,58.0,94.0,633.0,1797.0,2912.0,1767986827,3670416876329250
S47ANA0M400923,constant,70665,70665,0,185,41.0,95.0,790.0,2204.0,2948.0,1767986830,3670423103999304
S47ANA0M400923,constant,79968,79968,0,213,59.0,95.0,876.0,2201.0,3109.0,1767986833,3670429359386799
S47ANA0M400923,constant,89167,89167,0,239,51.0,96.0,1032.0,2366.0,3035.0,1767986835,3670435601513253
S47ANA0M400923,constant,98248,98248,0,278,59.0,97.0,1184.0,2512.0,3301.0,1767986838,3670441847381898
S47ANA0M400923,constant,107060,107060,0,296,59.0,99.0,1319.0,2653.0,3745.0,1767986840,3670448089839462
S47ANA0M400923,constant,116084,116084,0,331,47.0,105.0,1457.0,2744.0,3420.0,1767986843,3670454332343709
S47ANA0M400923,constant,124333,124333,0,383,58.0,116.0,1612.0,2696.0,3336.0,1767986846,3670460583857853
S47ANA0M400923,constant,134085,134085,0,402,60.0,128.0,1674.0,2905.0,4233.0,1767986848,3670466834935029
S47ANA0M400923,constant,142735,142735,0,428,55.0,135.0,1723.0,2812.0,3455.0,1767986851,3670473079480866
S47ANA0M400923,constant,151459,151459,0,500,61.0,180.0,2258.0,4775.0,5737.0,1767986853,3670479329373753
S47ANA0M400923,constant,160656,160656,0,525,61.0,231.0,2208.0,3265.0,3784.0,1767986856,3670485580829871
S47ANA0M400923,constant,169711,169711,0,486,63.0,316.0,2284.0,3260.0,4028.0,1767986859,3670491839586855
S47ANA0M400923,constant,178067,178067,0,558,63.0,378.0,2303.0,3276.0,3843.0,1767986861,3670498086837522
S47ANA0M400923,constant,187574,187574,0,530,68.0,453.0,2400.0,3341.0,3906.0,1767986864,3670504346454072
S47ANA0M400923,constant,195754,195754,0,628,65.0,502.0,2417.0,3281.0,3767.0,1767986866,3670510589226303
S47ANA0M400923,constant,204319,204319,0,699,68.0,572.0,2433.0,3275.0,3957.0,1767986869,3670516849014294
S47ANA0M400923,constant,213420,213420,0,635,68.0,569.0,2418.0,3292.0,3956.0,1767986872,3670523107103250
S47ANA0M400923,constant,222996,222996,0,770,76.0,853.0,2914.0,4921.0,5726.0,1767986874,3670529365402524
S47ANA0M400923,constant,232053,232053,0,814,75.0,843.0,2807.0,3674.0,4272.0,1767986877,3670535623305105
S47ANA0M400923,constant,241447,241447,0,758,73.0,899.0,2826.0,3663.0,4239.0,1767986879,3670541892580263
S47ANA0M400923,constant,249436,249436,0,796,73.0,938.0,2813.0,3646.0,4440.0,1767986882,3670548145123881
S47ANA0M400923,constant,259758,259758,0,834,76.0,978.0,2818.0,3649.0,4283.0,1767986885,3670554413255517
S47ANA0M400923,constant,267544,267544,0,868,75.0,977.0,2776.0,3600.0,4244.0,1767986887,3670560673258101
