SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M403400,constant,13707,13707,0,37,77.0,93.0,117.0,659.0,1063.0,1768160341,32972999613971448
S47ANA0M403400,constant,27763,27763,0,55,77.0,93.0,148.0,891.0,1910.0,1768160344,32973005895079521
S47ANA0M403400,constant,41615,41615,0,104,77.0,94.0,284.0,1252.0,1916.0,1768160346,32973012132514395
S47ANA0M403400,constant,54889,54889,0,142,78.0,94.0,525.0,2182.0,5308.0,1768160349,32973018361045290
S47ANA0M403400,constant,69498,69498,0,195,78.0,95.0,837.0,3819.0,5492.0,1768160351,32973024612476526
S47ANA0M403400,constant,83530,83530,0,215,78.0,98.0,1078.0,3231.0,5430.0,1768160354,32973030858379590
S47ANA0M403400,constant,96504,96504,0,277,78.0,101.0,1416.0,3199.0,5465.0,1768160357,32973037092210510
S47ANA0M403400,constant,110714,110714,0,346,79.0,110.0,1702.0,3037.0,3609.0,1768160359,32973043340902383
S47ANA0M403400,constant,124443,124443,0,341,79.0,120.0,1919.0,3080.0,3809.0,1768160362,32973049589305194
S47ANA0M403400,constant,138560,138560,0,376,79.0,130.0,2162.0,3331.0,4170.0,1768160364,32973055838046087
S47ANA0M403400,constant,152798,152798,0,413,80.0,141.0,2371.0,3416.0,3995.0,1768160367,32973062097081678
S47ANA0M403400,constant,166638,166638,0,465,80.0,152.0,2528.0,3571.0,4153.0,1768160370,32973068340294048
S47ANA0M403400,constant,180181,180181,0,508,81.0,180.0,2632.0,3662.0,4305.0,1768160372,32973074587503594
S47ANA0M403400,constant,194283,194283,0,618,82.0,280.0,2718.0,3640.0,4256.0,1768160375,32973080842930320
S47ANA0M403400,constant,208885,208885,0,650,83.0,493.0,2890.0,3911.0,4444.0,1768160377,32973087107177757
S47ANA0M403400,constant,221802,221802,0,689,84.0,640.0,3026.0,4038.0,4560.0,1768160380,32973093359883207
S47ANA0M403400,constant,236108,236108,0,741,86.0,815.0,3108.0,4026.0,4688.0,1768160383,32973099619687812
S47ANA0M403400,constant,249879,249879,0,826,91.0,961.0,3131.0,4029.0,4601.0,1768160385,32973105883134756
S47ANA0M403400,constant,264112,264112,0,817,93.0,1105.0,3230.0,4120.0,4705.0,1768160388,32973112145685351
S47ANA0M403400,constant,277892,277892,0,1016,94.0,1242.0,3280.0,4286.0,4941.0,1768160391,32973118409176764
S47ANA0M403400,constant,291120,291120,0,975,100.0,1327.0,3298.0,4194.0,4796.0,1768160393,32973124674106959
S47ANA0M403400,constant,305144,305144,0,1009,115.0,1473.0,3354.0,4262.0,4943.0,1768160396,32973130942390341
S47ANA0M403400,constant,317273,317273,0,3343,115.0,1436.0,3460.0,9613.0,11612.0,1768160398,32973137218050408
S47ANA0M403400,constant,333291,333291,0,1304,284.0,2236.0,4088.0,5496.0,6200.0,1768160401,32973143490071730
S47ANA0M403400,constant,348168,348168,0,1257,612.0,2353.0,4049.0,5333.0,6501.0,1768160404,32973149768973240
S47ANA0M403400,constant,361301,361301,0,1181,905.0,2844.0,4592.0,5954.0,6847.0,1768160406,32973156045141060
S47ANA0M403400,constant,375028,375028,0,1308,955.0,2917.0,4673.0,6211.0,7302.0,1768160409,32973162335250207
S47ANA0M403400,constant,388298,388298,0,1454,1312.0,3219.0,5156.0,7685.0,9662.0,1768160411,32973168611723706
S47ANA0M403400,constant,401370,401348,20,1441,1241.0,3232.0,5206.0,6865.0,8366.0,1768160414,32973174904402794
S47ANA0M403400,constant,416445,414941,1358,1717,1900.0,4390.0,10108.0,inf,inf,1768160417,32973181198563738
S47ANA0M403400,constant,429154,428654,454,1480,1889.0,4059.0,6818.0,inf,inf,1768160419,32973187486606512
S47ANA0M403400,constant,443710,430494,11946,1666,3311.0,7522.0,inf,inf,inf,1768160422,32973193791435264
S47ANA0M403400,constant,457518,439496,16269,1664,2762.0,7076.0,inf,inf,inf,1768160425,32973200105606967
S47ANA0M403400,constant,472696,435488,33597,1785,4085.0,9613.0,inf,inf,inf,1768160427,32973206413969089
S47ANA0M403400,constant,485148,422791,56382,1741,5121.0,inf,inf,inf,inf,1768160430,32973212727130629
S47ANA0M403400,constant,499777,416288,75418,1808,5841.0,inf,inf,inf,inf,1768160432,32973219047840919
S47ANA0M403400,constant,514405,446405,61460,1791,4706.0,inf,inf,inf,inf,1768160435,32973225368421009
S47ANA0M403400,constant,527950,434468,84474,1897,5535.0,inf,inf,inf,inf,1768160438,32973231688032414
S47ANA0M403400,constant,543435,428553,103603,1902,6152.0,inf,inf,inf,inf,1768160440,32973238017602322
S47ANA0M403400,constant,555239,427981,114849,1889,6460.0,inf,inf,inf,inf,1768160443,32973244338533682
S47ANA0M403400,constant,569164,444284,112939,2025,5831.0,inf,inf,inf,inf,1768160446,32973250661677716
S47ANA0M403400,constant,584024,440274,129836,2061,6050.0,inf,inf,inf,inf,1768160448,32973256992742260
S47ANA0M403400,constant,598295,418018,162614,2083,7280.0,inf,inf,inf,inf,1768160451,32973263324248647
S47ANA0M403400,constant,611837,408981,183082,2247,7921.0,inf,inf,inf,inf,1768160454,32973269652201210
S47ANA0M403400,constant,625756,423180,182870,2167,7578.0,inf,inf,inf,inf,1768160456,32973275981746722
S47ANA0M403400,constant,638669,443656,176093,2169,6911.0,inf,inf,inf,inf,1768160459,32973282312707109
S47ANA0M403400,constant,651856,430874,199637,2479,7633.0,inf,inf,inf,inf,1768160461,32973288643641912
S47ANA0M403400,constant,667348,437267,208061,2238,7659.0,inf,inf,inf,inf,1768160464,32973294976244151
S47ANA0M403400,constant,682149,449162,210206,2371,7277.0,inf,inf,inf,inf,1768160467,32973301316034192
S47ANA0M403400,constant,691165,445965,221928,2656,7798.0,inf,inf,inf,inf,1768160469,32973307644702624
