SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S39WNA0KC02074,constant,24560,24560,0,161,14.0,16.0,26.0,36.0,373.0,1707848927,3972641494069503
S39WNA0KC02074,constant,49719,49719,0,87,15.0,17.0,30.0,39.0,120.0,1707848931,3972652569864720
S39WNA0KC02074,constant,74597,74597,0,116,15.0,18.0,33.0,53.0,344.0,1707848936,3972663618371820
S39WNA0KC02074,constant,99449,99449,0,193,15.0,20.0,35.0,132.0,721.0,1707848940,3972674653849242
S39WNA0KC02074,constant,124634,124634,0,251,15.0,24.0,36.0,76.0,500.0,1707848945,3972685726328868
S39WNA0KC02074,constant,149050,149050,0,271,16.0,27.0,40.0,988.0,1596.0,1707848950,3972696776420511
S39WNA0KC02074,constant,174439,174439,0,339,16.0,29.0,49.0,1858.0,2664.0,1707848954,3972707843431299
S39WNA0KC02074,constant,198955,198955,0,432,17.0,30.0,66.0,1103.0,1755.0,1707848959,3972718910773620
S39WNA0KC02074,constant,224539,224539,0,511,18.0,32.0,703.0,2006.0,2449.0,1707848963,3972729983131434
S39WNA0KC02074,constant,248446,248446,0,591,18.0,34.0,1043.0,2091.0,2782.0,1707848968,3972741069014328
S39WNA0KC02074,constant,273572,273572,0,1287,20.0,36.0,1606.0,6634.0,8501.0,1707848973,3972752152387689
S39WNA0KC02074,constant,299398,299398,0,761,23.0,50.0,2762.0,6085.0,7296.0,1707848977,3972763255196895
S39WNA0KC02074,constant,323649,323610,104,852,26.0,277.0,4050.0,7086.0,inf,1707848982,3972774356451171
S39WNA0KC02074,constant,348584,348330,688,888,31.0,1652.0,5514.0,7676.0,inf,1707848987,3972785496177033
S39WNA0KC02074,constant,373979,371233,7430,1117,41.0,3279.0,9352.0,inf,inf,1707848991,3972796621234932
S39WNA0KC02074,constant,399626,390022,25964,1237,549.0,5442.0,inf,inf,inf,1707848996,3972807778440582
S39WNA0KC02074,constant,423756,405173,50263,1317,1877.0,6965.0,inf,inf,inf,1707849000,3972818942030682
S39WNA0KC02074,constant,447675,409487,103306,1531,3934.0,11883.0,inf,inf,inf,1707849005,3972830124184419
S39WNA0KC02074,constant,473704,418307,149859,1667,4335.0,inf,inf,inf,inf,1707849010,3972841323135543
S39WNA0KC02074,constant,498225,421802,206669,1647,4599.0,inf,inf,inf,inf,1707849014,3972852529851222
