SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M400877,constant,54530,54530,0,90,77.0,93.0,138.0,167.0,203.0,1707848405,15296621982842016
S47ANA0M400877,constant,109254,109254,0,215,79.0,100.0,152.0,200.0,252.0,1707848410,15296633036537463
S47ANA0M400877,constant,163944,163944,0,353,81.0,116.0,171.0,229.0,297.0,1707848414,15296644085731356
S47ANA0M400877,constant,218753,218753,0,455,86.0,129.0,193.0,268.0,341.0,1707848419,15296655143004510
S47ANA0M400877,constant,274147,274147,0,624,90.0,140.0,217.0,309.0,409.0,1707848424,15296666222520540
S47ANA0M400877,constant,329077,329077,0,771,92.0,152.0,249.0,358.0,512.0,1707848428,15296677298028855
S47ANA0M400877,constant,383254,383254,0,874,95.0,168.0,286.0,426.0,583.0,1707848433,15296688394380186
S47ANA0M400877,constant,438978,438978,0,1037,100.0,189.0,336.0,502.0,711.0,1707848438,15296699507678301
S47ANA0M400877,constant,493107,493107,0,1177,110.0,217.0,405.0,630.0,918.0,1707848442,15296710616601399
S47ANA0M400877,constant,548036,548036,0,1446,124.0,259.0,495.0,757.0,1008.0,1707848447,15296721751602954
S47ANA0M400877,constant,602977,602977,0,1538,141.0,321.0,637.0,972.0,1309.0,1707848452,15296732893552914
S47ANA0M400877,constant,658190,658190,0,1752,160.0,429.0,884.0,1341.0,1753.0,1707848456,15296744046009957
S47ANA0M400877,constant,712883,712883,0,2078,313.0,896.0,2305.0,3722.0,4565.0,1707848461,15296755221453798
S47ANA0M400877,constant,767122,718880,130544,2627,3184.0,6352.0,inf,inf,inf,1707848466,15296766410604141
S47ANA0M400877,constant,823241,719206,281615,2636,3789.0,inf,inf,inf,inf,1707848470,15296777654102286
S47ANA0M400877,constant,877539,719720,426659,2948,4119.0,inf,inf,inf,inf,1707848475,15296788916922798
S47ANA0M400877,constant,932577,719628,575770,3015,4311.0,inf,inf,inf,inf,1707848480,15296800183424964
S47ANA0M400877,constant,987761,720090,723588,3111,4571.0,inf,inf,inf,inf,1707848484,15296811458760351
S47ANA0M400877,constant,1041786,718945,873624,3289,4979.0,inf,inf,inf,inf,1707848489,15296822733333498
S47ANA0M400877,constant,1096533,720686,1016672,3585,4769.0,inf,inf,inf,inf,1707848494,15296834043177426
