SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S5CVNA0N101050,constant,14790,14790,0,18,14.0,16.0,19.0,36.0,311.0,1708978694,30062523833064
S5CVNA0N101050,constant,29841,29841,0,53,14.0,16.0,26.0,42.0,405.0,1708978698,30073587400338
S5CVNA0N101050,constant,44827,44827,0,95,14.0,16.0,30.0,44.0,67.0,1708978703,30084649647504
S5CVNA0N101050,constant,59352,59352,0,131,15.0,17.0,32.0,59.0,469.0,1708978708,30095667448167
S5CVNA0N101050,constant,74562,74562,0,167,15.0,17.0,33.0,47.0,60.0,1708978712,30106718786832
S5CVNA0N101050,constant,89020,89020,0,182,15.0,18.0,35.0,66.0,487.0,1708978717,30117767262921
S5CVNA0N101050,constant,104362,104362,0,260,15.0,20.0,36.0,57.0,482.0,1708978721,30128817529668
S5CVNA0N101050,constant,119279,119279,0,333,15.0,22.0,38.0,305.0,1253.0,1708978726,30139878903066
S5CVNA0N101050,constant,134338,134338,0,306,15.0,24.0,39.0,524.0,2561.0,1708978731,30150926421498
S5CVNA0N101050,constant,149153,149153,0,406,15.0,26.0,40.0,219.0,613.0,1708978735,30161990443722
S5CVNA0N101050,constant,164648,164648,0,456,16.0,27.0,42.0,469.0,1259.0,1708978740,30173064817542
S5CVNA0N101050,constant,179487,179487,0,475,16.0,29.0,46.0,751.0,2050.0,1708978744,30184118261103
S5CVNA0N101050,constant,193756,193756,0,496,16.0,30.0,50.0,1545.0,2148.0,1708978749,30195184798707
S5CVNA0N101050,constant,209122,209122,0,540,17.0,31.0,53.0,1214.0,1985.0,1708978754,30206254579590
S5CVNA0N101050,constant,224351,224351,0,570,17.0,32.0,185.0,1715.0,2934.0,1708978758,30217328231469
S5CVNA0N101050,constant,239139,239139,0,620,17.0,33.0,156.0,1442.0,2133.0,1708978763,30228419910162
S5CVNA0N101050,constant,253786,253786,0,689,18.0,34.0,813.0,2190.0,2791.0,1708978768,30239487975804
S5CVNA0N101050,constant,268354,268354,0,734,19.0,35.0,1019.0,2677.0,3234.0,1708978772,30250587066714
S5CVNA0N101050,constant,283765,283765,0,1347,20.0,37.0,1694.0,4563.0,5630.0,1708978777,30261695817516
S5CVNA0N101050,constant,299279,299279,0,831,21.0,38.0,1303.0,2662.0,3192.0,1708978781,30272796739011
S5CVNA0N101050,constant,314419,314419,0,925,22.0,43.0,1878.0,3643.0,5311.0,1708978786,30283901299947
S5CVNA0N101050,constant,328519,328519,0,1148,24.0,54.0,2191.0,4884.0,6156.0,1708978791,30295009983939
S5CVNA0N101050,constant,343386,343386,0,1107,25.0,57.0,2142.0,3567.0,4328.0,1708978795,30306110241048
S5CVNA0N101050,constant,358807,358530,751,1162,29.0,839.0,4918.0,7652.0,inf,1708978800,30317229283989
S5CVNA0N101050,constant,373820,373500,866,1280,32.0,1069.0,5025.0,7791.0,inf,1708978805,30328374693579
S5CVNA0N101050,constant,389124,388768,966,1249,37.0,1682.0,5142.0,7878.0,inf,1708978809,30339508937445
S5CVNA0N101050,constant,403600,400453,8511,1319,62.0,3537.0,10370.0,inf,inf,1708978814,30350659255620
S5CVNA0N101050,constant,418215,413976,11464,1440,606.0,3622.0,inf,inf,inf,1708978818,30361818791385
S5CVNA0N101050,constant,433229,415183,48823,1399,3037.0,6826.0,inf,inf,inf,1708978823,30372978082023
S5CVNA0N101050,constant,448999,413247,96732,1562,3984.0,10251.0,inf,inf,inf,1708978828,30384162063819
S5CVNA0N101050,constant,463753,408642,149086,1619,4479.0,inf,inf,inf,inf,1708978832,30395361696042
S5CVNA0N101050,constant,478742,421174,155682,1623,4255.0,inf,inf,inf,inf,1708978837,30406573069647
S5CVNA0N101050,constant,494095,417862,206105,1669,4670.0,inf,inf,inf,inf,1708978842,30417783175791
S5CVNA0N101050,constant,508780,413527,257609,1787,4887.0,inf,inf,inf,inf,1708978846,30429000920493
S5CVNA0N101050,constant,523719,412346,301255,2017,5477.0,inf,inf,inf,inf,1708978851,30440231373576
S5CVNA0N101050,constant,538969,419288,323740,1845,5542.0,inf,inf,inf,inf,1708978856,30451463071539
S5CVNA0N101050,constant,553953,416054,372986,1860,6113.0,inf,inf,inf,inf,1708978861,30462698903736
S5CVNA0N101050,constant,568653,411719,424407,2075,6722.0,inf,inf,inf,inf,1708978865,30473938539210
S5CVNA0N101050,constant,582676,415163,453108,2041,6833.0,inf,inf,inf,inf,1708978870,30485175808854
S5CVNA0N101050,constant,598480,414138,498695,2321,7074.0,inf,inf,inf,inf,1708978875,30496411890399
