SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM000024DB4,constant,14793,14793,0,15,17.0,18.0,20.0,24.0,27.0,1708978701,50957460021423
SDM000024DB4,constant,29626,29626,0,48,17.0,18.0,21.0,25.0,28.0,1708978706,50968497447438
SDM000024DB4,constant,44565,44565,0,63,17.0,19.0,22.0,26.0,30.0,1708978710,50979542408319
SDM000024DB4,constant,59110,59110,0,82,17.0,19.0,23.0,27.0,30.0,1708978715,50990545305204
SDM000024DB4,constant,74408,74408,0,126,17.0,19.0,24.0,28.0,31.0,1708978720,51001632611595
SDM000024DB4,constant,89448,89448,0,185,17.0,20.0,24.0,28.0,33.0,1708978724,51012680342112
SDM000024DB4,constant,104652,104652,0,214,17.0,20.0,25.0,29.0,34.0,1708978729,51023734058865
SDM000024DB4,constant,118896,118896,0,240,17.0,20.0,25.0,30.0,34.0,1708978733,51034784484138
SDM000024DB4,constant,134240,134240,0,259,18.0,21.0,26.0,31.0,35.0,1708978738,51045849659217
SDM000024DB4,constant,149254,149254,0,350,18.0,21.0,27.0,32.0,37.0,1708978743,51056907914091
SDM000024DB4,constant,164390,164390,0,352,18.0,22.0,27.0,33.0,38.0,1708978747,51067971451299
SDM000024DB4,constant,178718,178718,0,465,18.0,22.0,28.0,34.0,40.0,1708978752,51079023213828
SDM000024DB4,constant,193752,193752,0,500,18.0,22.0,29.0,35.0,40.0,1708978756,51090099199179
SDM000024DB4,constant,209198,209198,0,487,18.0,23.0,29.0,35.0,41.0,1708978761,51101170800990
SDM000024DB4,constant,224198,224198,0,552,18.0,23.0,30.0,37.0,42.0,1708978766,51112250614560
SDM000024DB4,constant,239306,239306,0,595,19.0,24.0,31.0,38.0,45.0,1708978770,51123330823914
SDM000024DB4,constant,253790,253790,0,649,19.0,24.0,32.0,40.0,46.0,1708978775,51134413485873
SDM000024DB4,constant,268901,268901,0,734,19.0,25.0,33.0,41.0,48.0,1708978779,51145488379851
SDM000024DB4,constant,283702,283702,0,776,19.0,26.0,34.0,42.0,49.0,1708978784,51156577583853
SDM000024DB4,constant,298817,298817,0,821,20.0,26.0,35.0,44.0,51.0,1708978789,51167681035107
SDM000024DB4,constant,313906,313906,0,877,20.0,27.0,37.0,46.0,55.0,1708978793,51178763400600
SDM000024DB4,constant,329273,329273,0,872,20.0,28.0,39.0,48.0,56.0,1708978798,51189870844569
SDM000024DB4,constant,343664,343664,0,967,21.0,29.0,41.0,52.0,62.0,1708978803,51200962365798
SDM000024DB4,constant,358674,358674,0,1022,21.0,30.0,44.0,55.0,66.0,1708978807,51212073217596
SDM000024DB4,constant,373768,373768,0,1110,21.0,33.0,49.0,60.0,68.0,1708978812,51223178077512
SDM000024DB4,constant,388912,388912,0,1219,22.0,35.0,50.0,62.0,72.0,1708978816,51234289483260
SDM000024DB4,constant,402660,402660,0,1268,22.0,37.0,53.0,64.0,74.0,1708978821,51245381210568
SDM000024DB4,constant,418341,418341,0,1335,23.0,39.0,55.0,68.0,78.0,1708978826,51256523695947
SDM000024DB4,constant,433466,433466,0,1386,23.0,42.0,58.0,70.0,81.0,1708978830,51267639778500
SDM000024DB4,constant,448507,448507,0,1487,24.0,45.0,62.0,76.0,92.0,1708978835,51278762255832
SDM000024DB4,constant,463442,463442,0,1612,25.0,48.0,66.0,84.0,105.0,1708978840,51289884315126
SDM000024DB4,constant,478480,478480,0,1710,26.0,52.0,73.0,101.0,142.0,1708978844,51301009717287
SDM000024DB4,constant,494157,494157,0,1703,29.0,58.0,352.0,899.0,1219.0,1708978849,51312149805927
SDM000024DB4,constant,507858,499137,23636,1780,3939.0,7315.0,inf,inf,inf,1708978854,51323278560639
SDM000024DB4,constant,522540,496694,70059,1968,4592.0,8462.0,inf,inf,inf,1708978858,51334486458000
SDM000024DB4,constant,538283,501283,100027,2061,4769.0,8890.0,inf,inf,inf,1708978863,51345714401886
SDM000024DB4,constant,554251,501789,141895,2272,4967.0,9845.0,inf,inf,inf,1708978868,51356925413292
SDM000024DB4,constant,568353,496922,193367,2266,5210.0,inf,inf,inf,inf,1708978872,51368138945640
SDM000024DB4,constant,582305,502134,216855,2301,5218.0,inf,inf,inf,inf,1708978877,51379363756989
SDM000024DB4,constant,597170,505207,248707,2381,5296.0,inf,inf,inf,inf,1708978882,51390588166584
