SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M400923,constant,19669,19669,0,18,16.0,79.0,97.0,531.0,823.0,1710125168,8548681272269370
S47ANA0M400923,constant,39583,39583,0,46,17.0,80.0,180.0,695.0,1273.0,1710125173,8548692322704048
S47ANA0M400923,constant,59423,59423,0,81,17.0,89.0,311.0,935.0,1878.0,1710125178,8548703395139016
S47ANA0M400923,constant,79621,79621,0,121,17.0,91.0,534.0,2134.0,5495.0,1710125182,8548714440090036
S47ANA0M400923,constant,99064,99064,0,157,17.0,91.0,637.0,1869.0,2795.0,1710125187,8548725485245329
S47ANA0M400923,constant,119598,119598,0,237,18.0,92.0,745.0,1984.0,2922.0,1710125191,8548736565254676
S47ANA0M400923,constant,138946,138946,0,260,18.0,93.0,982.0,2728.0,5357.0,1710125196,8548747607540985
S47ANA0M400923,constant,158978,158978,0,296,19.0,94.0,1103.0,2433.0,3181.0,1710125201,8548758679358220
S47ANA0M400923,constant,179397,179397,0,310,19.0,108.0,1539.0,3641.0,5563.0,1710125205,8548769753106984
S47ANA0M400923,constant,199061,199061,0,379,20.0,122.0,1452.0,2675.0,3347.0,1710125210,8548780819936440
S47ANA0M400923,constant,219045,219045,0,409,21.0,177.0,1811.0,3146.0,5303.0,1710125214,8548791918336963
S47ANA0M400923,constant,238638,238638,0,494,22.0,260.0,1960.0,3295.0,5309.0,1710125219,8548802994349575
S47ANA0M400923,constant,259340,259340,0,563,24.0,396.0,2230.0,3751.0,5368.0,1710125224,8548814095773093
S47ANA0M400923,constant,278856,278856,0,560,26.0,422.0,2109.0,3059.0,3677.0,1710125228,8548825195335987
S47ANA0M400923,constant,299382,299382,0,645,28.0,524.0,2274.0,3233.0,4044.0,1710125233,8548836298276851
S47ANA0M400923,constant,318519,318519,0,732,31.0,856.0,2910.0,4513.0,5710.0,1710125238,8548847407115577
S47ANA0M400923,constant,337922,336768,3133,1271,36.0,1555.0,8421.0,inf,inf,1710125242,8548858510202616
S47ANA0M400923,constant,359142,356935,5977,895,67.0,3960.0,9028.0,inf,inf,1710125247,8548869657515199
S47ANA0M400923,constant,378488,362722,42672,976,2820.0,7609.0,inf,inf,inf,1710125251,8548880810854629
S47ANA0M400923,constant,398550,361441,100485,1201,4669.0,12621.0,inf,inf,inf,1710125256,8548891982536680
S47ANA0M400923,constant,418236,366800,139247,1200,4974.0,inf,inf,inf,inf,1710125261,8548903173766179
S47ANA0M400923,constant,438271,360954,209159,1215,5864.0,inf,inf,inf,inf,1710125265,8548914380626752
S47ANA0M400923,constant,458147,360762,263663,1256,6397.0,inf,inf,inf,inf,1710125270,8548925584054056
S47ANA0M400923,constant,478470,364385,308540,1392,6686.0,inf,inf,inf,inf,1710125275,8548936807674030
S47ANA0M400923,constant,498883,353031,394962,1444,8037.0,inf,inf,inf,inf,1710125279,8548948022941929
S47ANA0M400923,constant,518647,371088,399345,1465,7457.0,inf,inf,inf,inf,1710125284,8548959250291257
S47ANA0M400923,constant,538524,363706,473237,1530,8263.0,inf,inf,inf,inf,1710125289,8548970477794224
S47ANA0M400923,constant,557665,363710,524916,1574,8915.0,inf,inf,inf,inf,1710125293,8548981714980261
S47ANA0M400923,constant,577699,364741,576085,1723,9235.0,inf,inf,inf,inf,1710125298,8548992957930795
S47ANA0M400923,constant,597607,363641,633554,1800,9840.0,inf,inf,inf,inf,1710125303,8549004193032444
