SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M403400,constant,8008,8008,0,14,76.0,92.0,96.0,466.0,804.0,1767984124,32550082574454918
S47ANA0M403400,constant,16066,16066,0,29,76.0,93.0,128.0,561.0,861.0,1767984127,32550088838062203
S47ANA0M403400,constant,24604,24604,0,49,76.0,93.0,161.0,807.0,2447.0,1767984129,32550095102089266
S47ANA0M403400,constant,32734,32734,0,77,76.0,93.0,208.0,1048.0,1731.0,1767984132,32550101340577707
S47ANA0M403400,constant,41002,41002,0,96,77.0,93.0,318.0,1359.0,2969.0,1767984134,32550107582538312
S47ANA0M403400,constant,48938,48938,0,108,77.0,94.0,524.0,1774.0,2613.0,1767984137,32550113802813675
S47ANA0M403400,constant,57003,57003,0,145,77.0,94.0,655.0,2017.0,2700.0,1767984140,32550120055899216
S47ANA0M403400,constant,65366,65366,0,146,77.0,94.0,790.0,2156.0,2799.0,1767984142,32550126302168895
S47ANA0M403400,constant,74332,74332,0,214,77.0,95.0,866.0,2334.0,2984.0,1767984145,32550132560224878
S47ANA0M403400,constant,82686,82686,0,241,77.0,96.0,1061.0,2624.0,5450.0,1767984148,32550138805800660
S47ANA0M403400,constant,90596,90596,0,247,77.0,97.0,1218.0,3276.0,5618.0,1767984150,32550145029977085
S47ANA0M403400,constant,98875,98875,0,259,77.0,101.0,1493.0,3151.0,5430.0,1767984153,32550151278655452
S47ANA0M403400,constant,106690,106690,0,294,77.0,107.0,1598.0,2828.0,3356.0,1767984155,32550157516207380
S47ANA0M403400,constant,115727,115727,0,296,77.0,113.0,1837.0,4168.0,5620.0,1767984158,32550163783096335
S47ANA0M403400,constant,123898,123898,0,377,78.0,127.0,1987.0,3242.0,5366.0,1767984161,32550170029273836
S47ANA0M403400,constant,132238,132238,0,387,78.0,133.0,2072.0,3208.0,3951.0,1767984163,32550176276760489
S47ANA0M403400,constant,139384,139384,0,395,78.0,141.0,2219.0,3276.0,3856.0,1767984166,32550182514970119
S47ANA0M403400,constant,148886,148886,0,424,78.0,160.0,2349.0,3371.0,4062.0,1767984168,32550188777481255
S47ANA0M403400,constant,157712,157712,0,453,78.0,178.0,2390.0,3381.0,4019.0,1767984171,32550195027253386
S47ANA0M403400,constant,165255,165255,0,505,78.0,272.0,2512.0,3607.0,4576.0,1767984174,32550201274765719
S47ANA0M403400,constant,173592,173592,0,545,79.0,332.0,2535.0,3525.0,4039.0,1767984176,32550207527230311
S47ANA0M403400,constant,181534,181534,0,494,79.0,400.0,2597.0,3578.0,4165.0,1767984179,32550213779497431
S47ANA0M403400,constant,190009,190009,0,640,79.0,461.0,2636.0,3587.0,4007.0,1767984181,32550220034556552
S47ANA0M403400,constant,198052,198052,0,544,79.0,565.0,2693.0,3589.0,4208.0,1767984184,32550226290472200
S47ANA0M403400,constant,206086,206086,0,620,80.0,615.0,2734.0,3662.0,4212.0,1767984187,32550232545469236
S47ANA0M403400,constant,214650,214650,0,727,80.0,658.0,2774.0,3894.0,5225.0,1767984189,32550238799101515
S47ANA0M403400,constant,223516,223516,0,720,81.0,868.0,3025.0,4511.0,5685.0,1767984192,32550245065962399
S47ANA0M403400,constant,231681,231681,0,671,81.0,963.0,3117.0,4889.0,5781.0,1767984194,32550251324295963
S47ANA0M403400,constant,241158,241158,0,787,82.0,1082.0,3192.0,4037.0,4552.0,1767984197,32550257582621001
S47ANA0M403400,constant,247860,247860,0,754,82.0,1139.0,3234.0,4074.0,4596.0,1767984200,32550263847054447
