SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
SDM00001C5D1,constant,24492,24492,0,43,24.0,87.0,99.0,320.0,382.0,1767935773,96503849524604436
SDM00001C5D1,constant,49072,49072,0,109,25.0,87.0,218.0,358.0,429.0,1767935775,96503855778123903
SDM00001C5D1,constant,74313,74313,0,177,26.0,88.0,266.0,358.0,545.0,1767935778,96503862020775516
SDM00001C5D1,constant,99045,99045,0,260,27.0,88.0,289.0,374.0,628.0,1767935780,96503868263792808
SDM00001C5D1,constant,123809,123809,0,308,28.0,89.0,300.0,390.0,523.0,1767935783,96503874511262283
SDM00001C5D1,constant,148664,148664,0,388,28.0,90.0,309.0,406.0,1295.0,1767935786,96503880754631700
SDM00001C5D1,constant,173752,173752,0,489,29.0,92.0,317.0,412.0,1138.0,1767935788,96503887005163887
SDM00001C5D1,constant,197904,197904,0,544,32.0,96.0,325.0,420.0,1894.0,1767935791,96503893249060716
SDM00001C5D1,constant,221982,221982,0,652,78.0,102.0,330.0,422.0,1437.0,1767935794,96503899497154041
SDM00001C5D1,constant,248012,248012,0,689,34.0,116.0,340.0,636.0,1754.0,1767935796,96503905743630588
SDM00001C5D1,constant,272995,272995,0,757,36.0,132.0,343.0,462.0,2157.0,1767935799,96503912006611839
SDM00001C5D1,constant,298717,298717,0,838,36.0,147.0,354.0,519.0,2135.0,1767935801,96503918261160807
SDM00001C5D1,constant,320045,320045,0,933,38.0,163.0,369.0,594.0,2365.0,1767935804,96503924508157974
SDM00001C5D1,constant,347300,347300,0,957,39.0,186.0,387.0,804.0,2274.0,1767935807,96503930772108408
SDM00001C5D1,constant,372753,372753,0,1098,43.0,200.0,393.0,647.0,2360.0,1767935809,96503937039388572
SDM00001C5D1,constant,397223,397223,0,1150,44.0,216.0,401.0,681.0,2344.0,1767935812,96503943295724469
SDM00001C5D1,constant,424330,424330,0,1228,55.0,228.0,410.0,735.0,2434.0,1767935814,96503949566699706
SDM00001C5D1,constant,446917,446917,0,1390,51.0,239.0,423.0,825.0,2538.0,1767935817,96503955829101447
SDM00001C5D1,constant,470887,470887,0,1428,51.0,250.0,436.0,1130.0,2555.0,1767935820,96503962097896758
SDM00001C5D1,constant,496966,496966,0,1558,58.0,262.0,451.0,910.0,2392.0,1767935822,96503968369221570
SDM00001C5D1,constant,521269,521269,0,1708,60.0,270.0,473.0,1227.0,2544.0,1767935825,96503974640237442
SDM00001C5D1,constant,546940,546940,0,1807,61.0,281.0,495.0,1255.0,2553.0,1767935827,96503980913959815
SDM00001C5D1,constant,570356,570356,0,1880,68.0,290.0,516.0,1457.0,2618.0,1767935830,96503987188440330
SDM00001C5D1,constant,596024,596024,0,1909,71.0,299.0,534.0,1627.0,2654.0,1767935833,96503993469412026
SDM00001C5D1,constant,620275,620275,0,2099,76.0,308.0,546.0,1512.0,2587.0,1767935835,96503999749402488
SDM00001C5D1,constant,645565,645565,0,2159,79.0,318.0,570.0,1773.0,2681.0,1767935838,96504006029885961
SDM00001C5D1,constant,670253,670253,0,2353,83.0,328.0,589.0,1718.0,2654.0,1767935841,96504012314865681
SDM00001C5D1,constant,694089,694089,0,2459,84.0,339.0,619.0,1868.0,2841.0,1767935843,96504018601762317
SDM00001C5D1,constant,721412,721412,0,2506,87.0,351.0,657.0,1951.0,2845.0,1767935846,96504024894565944
SDM00001C5D1,constant,747600,747600,0,2642,90.0,367.0,695.0,1926.0,2770.0,1767935848,96504031185272976
