SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S39WNA0KC02074,constant,9923,9923,0,11,73.0,87.0,91.0,2034.0,3757.0,1767939794,96515924900182332
S39WNA0KC02074,constant,19659,19659,0,41,73.0,87.0,120.0,2568.0,3987.0,1767939796,96515931156227613
S39WNA0KC02074,constant,29558,29558,0,40,74.0,88.0,527.0,2686.0,3741.0,1767939799,96515937385079760
S39WNA0KC02074,constant,39731,39731,0,78,74.0,88.0,997.0,2736.0,3463.0,1767939802,96515943641788986
S39WNA0KC02074,constant,49323,49323,0,105,74.0,88.0,1406.0,2819.0,3916.0,1767939804,96515949889143255
S39WNA0KC02074,constant,59473,59473,0,131,74.0,88.0,1625.0,2902.0,3991.0,1767939807,96515956127935050
S39WNA0KC02074,constant,69007,69007,0,155,74.0,89.0,1796.0,2947.0,3924.0,1767939810,96515962364564076
S39WNA0KC02074,constant,78695,78695,0,161,74.0,89.0,1868.0,2977.0,4091.0,1767939812,96515968605377628
S39WNA0KC02074,constant,89218,89218,0,205,74.0,90.0,1978.0,3496.0,4762.0,1767939815,96515974858782801
S39WNA0KC02074,constant,99171,99171,0,256,74.0,90.0,2111.0,3431.0,4996.0,1767939817,96515981106001959
S39WNA0KC02074,constant,108457,108457,0,264,74.0,91.0,2129.0,3129.0,4035.0,1767939820,96515987348249514
S39WNA0KC02074,constant,119081,119081,0,275,75.0,93.0,2259.0,3520.0,5193.0,1767939823,96515993593467987
S39WNA0KC02074,constant,129423,129423,0,316,75.0,94.0,2240.0,3468.0,4842.0,1767939825,96515999845394505
S39WNA0KC02074,constant,138923,138923,0,342,75.0,97.0,2331.0,3318.0,4160.0,1767939828,96516006088317003
S39WNA0KC02074,constant,148902,148902,0,385,75.0,99.0,2303.0,3294.0,4163.0,1767939830,96516012344274063
S39WNA0KC02074,constant,158307,158307,0,452,75.0,109.0,2449.0,3976.0,5612.0,1767939833,96516018588873360
S39WNA0KC02074,constant,167739,167739,0,456,75.0,114.0,2420.0,3359.0,4126.0,1767939836,96516024837309063
S39WNA0KC02074,constant,178189,178189,0,480,75.0,129.0,2490.0,3896.0,5146.0,1767939838,96516031094339736
S39WNA0KC02074,constant,187757,187757,0,516,76.0,136.0,2501.0,3751.0,4975.0,1767939841,96516037346259243
S39WNA0KC02074,constant,198505,198505,0,556,76.0,142.0,2463.0,3497.0,4191.0,1767939843,96516043605606600
S39WNA0KC02074,constant,208150,208150,0,605,76.0,195.0,2482.0,3747.0,5058.0,1767939846,96516049846622457
S39WNA0KC02074,constant,217974,217974,0,617,76.0,269.0,2517.0,3782.0,5047.0,1767939849,96516056109659775
S39WNA0KC02074,constant,228606,228606,0,668,76.0,371.0,2537.0,3768.0,4817.0,1767939851,96516062369825301
S39WNA0KC02074,constant,238514,238514,0,724,77.0,565.0,2582.0,3856.0,4662.0,1767939854,96516068627321877
S39WNA0KC02074,constant,247303,247303,0,703,77.0,638.0,2659.0,4057.0,5587.0,1767939856,96516074885800194
S39WNA0KC02074,constant,257606,257606,0,745,77.0,668.0,2626.0,3912.0,4832.0,1767939859,96516081145440213
S39WNA0KC02074,constant,266690,266690,0,779,78.0,706.0,2656.0,3951.0,4611.0,1767939862,96516087404630421
S39WNA0KC02074,constant,277424,277424,0,848,78.0,775.0,2687.0,3918.0,4442.0,1767939864,96516093672499449
S39WNA0KC02074,constant,287283,287283,0,1002,79.0,937.0,2827.0,4235.0,5779.0,1767939867,96516099931937520
S39WNA0KC02074,constant,297703,297703,0,921,79.0,970.0,2804.0,4118.0,4975.0,1767939869,96516106198063326
