SerialNumber,Distribution,Target,Actual,Dropped,NeverSent,Median,90th,99th,99.9th,99.99th,Start,StartTsc
S47ANA0M400877,constant,9884,9884,0,8,15.0,77.0,93.0,477.0,792.0,1710133027,673835707098330
S47ANA0M400877,constant,19622,19622,0,20,15.0,77.0,104.0,520.0,847.0,1710133031,673846702114824
S47ANA0M400877,constant,29639,29639,0,37,15.0,78.0,147.0,683.0,1088.0,1710133036,673857778715040
S47ANA0M400877,constant,39481,39481,0,45,15.0,79.0,191.0,781.0,1673.0,1710133041,673868782341915
S47ANA0M400877,constant,49522,49522,0,58,15.0,85.0,240.0,844.0,2121.0,1710133045,673879840753776
S47ANA0M400877,constant,59136,59136,0,77,16.0,89.0,337.0,970.0,2029.0,1710133050,673890870678858
S47ANA0M400877,constant,69192,69192,0,96,16.0,89.0,458.0,1945.0,5419.0,1710133054,673901915877699
S47ANA0M400877,constant,79543,79543,0,102,16.0,89.0,474.0,1509.0,2779.0,1710133059,673912966708836
S47ANA0M400877,constant,89789,89789,0,118,16.0,90.0,551.0,1603.0,2580.0,1710133064,673924010333757
S47ANA0M400877,constant,99629,99629,0,138,16.0,90.0,599.0,1699.0,2871.0,1710133068,673935063870789
S47ANA0M400877,constant,109600,109600,0,168,16.0,91.0,718.0,2275.0,5299.0,1710133073,673946107274649
S47ANA0M400877,constant,119891,119891,0,171,16.0,91.0,766.0,2085.0,2867.0,1710133077,673957159681656
S47ANA0M400877,constant,129457,129457,0,192,17.0,91.0,824.0,2089.0,2877.0,1710133082,673968219804675
S47ANA0M400877,constant,139427,139427,0,205,17.0,92.0,969.0,2429.0,3367.0,1710133087,673979268876849
S47ANA0M400877,constant,149173,149173,0,254,17.0,92.0,989.0,2372.0,3131.0,1710133091,673990323478563
S47ANA0M400877,constant,158899,158899,0,268,17.0,93.0,1203.0,2884.0,5243.0,1710133096,674001368539293
S47ANA0M400877,constant,169714,169714,0,248,18.0,94.0,1202.0,2502.0,3182.0,1710133101,674012457158664
S47ANA0M400877,constant,179000,179000,0,303,18.0,99.0,1410.0,2964.0,5180.0,1710133105,674023523180424
S47ANA0M400877,constant,189222,189222,0,312,18.0,105.0,1389.0,2877.0,5152.0,1710133110,674034593743032
S47ANA0M400877,constant,199186,199186,0,338,19.0,131.0,1559.0,2767.0,3398.0,1710133114,674045662419834
S47ANA0M400877,constant,209234,209234,0,350,19.0,143.0,1616.0,3003.0,5122.0,1710133119,674056743505542
S47ANA0M400877,constant,219135,219135,0,353,20.0,158.0,1680.0,2797.0,3412.0,1710133124,674067829512084
S47ANA0M400877,constant,229619,229619,0,427,20.0,207.0,1868.0,3025.0,4783.0,1710133128,674078918640426
S47ANA0M400877,constant,239462,239462,0,397,21.0,264.0,1994.0,3257.0,5274.0,1710133133,674090005722297
S47ANA0M400877,constant,249027,249027,0,631,22.0,307.0,2115.0,4038.0,5444.0,1710133137,674101093800189
S47ANA0M400877,constant,259409,259409,0,467,22.0,319.0,2025.0,3034.0,3599.0,1710133142,674112195736845
S47ANA0M400877,constant,269354,269354,0,485,23.0,420.0,2158.0,3168.0,4630.0,1710133147,674123288522589
S47ANA0M400877,constant,278760,278760,0,482,25.0,526.0,2374.0,3448.0,5494.0,1710133151,674134381046001
S47ANA0M400877,constant,288867,288867,0,577,26.0,561.0,2451.0,4104.0,5703.0,1710133156,674145492800445
S47ANA0M400877,constant,299226,299226,0,614,27.0,619.0,2495.0,3971.0,5611.0,1710133161,674156601953016
